nohup: ignoring input
device=cuda
Using the latest cached version of the dataset since wikitext couldn't be found on the Hugging Face Hub
Found the latest cached dataset configuration 'wikitext-2-raw-v1' at /home/enzeyu/.cache/huggingface/datasets/wikitext/wikitext-2-raw-v1/0.0.0/b08601e04326c79dfdd32d625aee71d232d685c3 (last modified on Sat May  9 08:55:42 2026).
model_backend=mdlm
pretrained_edge_loaded=True
edge_model_status=loaded pretrained edge MDLM from /mnt/data/enzeyu/hf_downloads/models/mdlm-no_flashattn-fp32-owt via HF_ENDPOINT=https://hf-mirror.com/; MDLM custom vocab_embed already matches vocab_size=50258; patched flash-attn rotary kernel
edge_model_is_toy=False
step=12600 loss=16.7319 edge_loss=2.1039 device_loss=9.1644 align=241.6432 acc=0.6053 step_time=0.133s gpu_mem=5913.3MB
step=12700 loss=15.7174 edge_loss=1.6910 device_loss=9.1599 align=229.8813 acc=0.5909 step_time=0.132s gpu_mem=5913.3MB
step=12800 loss=15.5588 edge_loss=1.3917 device_loss=8.1510 align=236.4652 acc=0.6894 step_time=0.134s gpu_mem=5913.3MB
step=12900 loss=16.7913 edge_loss=2.3776 device_loss=8.7093 align=239.9053 acc=0.5380 step_time=0.132s gpu_mem=5913.3MB
step=13000 loss=15.6725 edge_loss=2.0710 device_loss=9.1034 align=221.7668 acc=0.5789 step_time=0.132s gpu_mem=5913.3MB
step=13100 loss=15.6396 edge_loss=2.1943 device_loss=9.6467 align=216.4423 acc=0.5528 step_time=0.132s gpu_mem=5913.3MB
step=13200 loss=15.0314 edge_loss=1.6198 device_loss=8.6685 align=219.8121 acc=0.6497 step_time=0.131s gpu_mem=5913.3MB
step=13300 loss=14.7463 edge_loss=1.4367 device_loss=8.6495 align=217.9053 acc=0.6496 step_time=0.132s gpu_mem=5913.3MB
step=13400 loss=14.4193 edge_loss=1.7042 device_loss=8.5091 align=206.5352 acc=0.5944 step_time=0.133s gpu_mem=5913.3MB
step=13500 loss=15.1060 edge_loss=1.6440 device_loss=8.4070 align=221.2865 acc=0.6452 step_time=0.133s gpu_mem=5913.3MB
step=13600 loss=16.2453 edge_loss=1.6210 device_loss=8.8903 align=243.0990 acc=0.6529 step_time=0.132s gpu_mem=5913.3MB
step=13700 loss=16.7632 edge_loss=1.4995 device_loss=8.8471 align=255.6360 acc=0.6954 step_time=0.134s gpu_mem=5913.3MB
step=13800 loss=16.3405 edge_loss=2.1424 device_loss=8.9148 align=234.0353 acc=0.6000 step_time=0.134s gpu_mem=5913.3MB
step=13900 loss=16.3903 edge_loss=1.7134 device_loss=8.2525 align=246.9740 acc=0.6735 step_time=0.134s gpu_mem=5913.3MB
step=14000 loss=15.0243 edge_loss=1.6176 device_loss=8.2896 align=222.2790 acc=0.6483 step_time=0.133s gpu_mem=5913.3MB
step=14100 loss=15.1190 edge_loss=1.2867 device_loss=8.5257 align=228.7035 acc=0.6605 step_time=0.133s gpu_mem=5913.3MB
step=14200 loss=16.5504 edge_loss=2.3536 device_loss=8.7105 align=236.0192 acc=0.5302 step_time=0.133s gpu_mem=5915.5MB
step=14300 loss=15.6792 edge_loss=1.7024 device_loss=8.7637 align=230.3398 acc=0.6863 step_time=0.134s gpu_mem=5915.5MB
step=14400 loss=16.1933 edge_loss=1.6894 device_loss=8.8547 align=239.8479 acc=0.6299 step_time=0.133s gpu_mem=5915.5MB
step=14500 loss=16.8325 edge_loss=2.2343 device_loss=8.5569 align=244.7675 acc=0.5556 step_time=0.133s gpu_mem=5915.5MB
step=14600 loss=16.6315 edge_loss=1.3661 device_loss=8.4170 align=256.9875 acc=0.6944 step_time=0.133s gpu_mem=5915.5MB
step=14700 loss=15.4763 edge_loss=1.7207 device_loss=8.1030 align=229.8966 acc=0.6813 step_time=0.133s gpu_mem=5915.5MB
step=14800 loss=15.2882 edge_loss=1.8170 device_loss=8.4874 align=221.9367 acc=0.6211 step_time=0.133s gpu_mem=5915.5MB
step=14900 loss=15.6241 edge_loss=1.8457 device_loss=8.5694 align=227.4564 acc=0.6331 step_time=0.133s gpu_mem=5915.5MB
step=15000 loss=15.0067 edge_loss=1.6212 device_loss=7.7552 align=224.1834 acc=0.6757 step_time=0.134s gpu_mem=5915.5MB
step=15100 loss=16.2731 edge_loss=1.7519 device_loss=8.5076 align=242.4878 acc=0.6643 step_time=0.133s gpu_mem=5915.5MB
step=15200 loss=16.7931 edge_loss=1.5418 device_loss=8.2294 align=258.6525 acc=0.6587 step_time=0.133s gpu_mem=5915.5MB
step=15300 loss=14.5287 edge_loss=1.7964 device_loss=7.8804 align=210.7446 acc=0.6838 step_time=0.131s gpu_mem=5915.5MB
step=15400 loss=14.7697 edge_loss=1.3786 device_loss=8.2747 align=221.1380 acc=0.7320 step_time=0.133s gpu_mem=5915.5MB
step=15500 loss=14.6944 edge_loss=1.1833 device_loss=7.5504 align=226.9028 acc=0.7143 step_time=0.132s gpu_mem=5915.5MB
step=15600 loss=15.8387 edge_loss=1.3042 device_loss=8.0960 align=245.6544 acc=0.6903 step_time=0.132s gpu_mem=5915.5MB
step=15700 loss=14.9049 edge_loss=1.5969 device_loss=7.3714 align=224.9255 acc=0.6687 step_time=0.134s gpu_mem=5915.5MB
step=15800 loss=14.9659 edge_loss=1.4444 device_loss=8.0990 align=224.2213 acc=0.7310 step_time=0.133s gpu_mem=5915.5MB
step=15900 loss=16.4778 edge_loss=1.6841 device_loss=7.9413 align=251.0880 acc=0.6389 step_time=0.131s gpu_mem=5915.5MB
step=16000 loss=16.0063 edge_loss=1.6370 device_loss=8.1027 align=241.7276 acc=0.6471 step_time=0.132s gpu_mem=5915.5MB
